,,"Jobs (000s, nonfarm, seasonally adjusted)",Chg from prior year,Pct. Chg,Change from prior month,Pct. Chg,,,,,,,,,,,,,,,,,
2009,Jan,"3,704.6",,,,,,,,,,,,,,,,,,,,,
2009,Feb,"3,690.0",,,-14.6,-0.39,,,,,,,,,,,,,,,,,
2009,Mar,"3,672.0",,,-18.0,-0.49,,,,,,,,,,,,,,,,,
2009,Apr,"3,653.0",,,-19.0,-0.52,,,,,,,,,,,,,,,,,
2009,May,"3,656.2",,,3.2,0.09,,,,,,,,,,,,,,,,,
2009,Jun,"3,651.4",,,-4.8,-0.13,,,,,,,,,,,,,,,,,
2009,Jul,"3,639.9",,,-11.5,-0.31,,,,,,,,,,,,,,,,,
2009,Aug,"3,639.1",,,-0.8,-0.02,,,,,,,,,,,,,,,,,
2009,Sep,"3,628.9",,,-10.2,-0.28,,,,,,,,,,,,,,,,,
2009,Oct,"3,629.0",,,0.1,0.00,,,,,,,,,,,,,,,,,
2009,Nov,"3,629.0",,,0.0,0.00,,,,,,,,,,,,,,,,,
2009,Dec,"3,624.5",,,-4.5,-0.12,,,,,,,,,,,,,,,,,
2010,Jan,"3,617.6",-87.0,-2.35,-6.9,-0.19,,,,,,,,,,,,,,,,,
2010,Feb,"3,598.0",-92.0,-2.49,-19.6,-0.54,,,,,,,,,,,,,,,,,
2010,Mar,"3,617.7",-54.3,-1.48,19.7,0.55,,,,,,,,,,,,,,,,,
2010,Apr,"3,639.5",-13.5,-0.37,21.8,0.60,,,,,,,,,,,,,,,,,
2010,May,"3,659.9",3.7,0.10,20.4,0.56,,,,,,,,,,,,,,,,,
2010,Jun,"3,659.9",8.5,0.23,0.0,0.00,,,,,,,,,,,,,,,,,
2010,Jul,"3,662.8",22.9,0.63,2.9,0.08,,,,,,,,,,,,,,,,,
2010,Aug,"3,658.1",19.0,0.52,-4.7,-0.13,,,,,,,,,,,,,,,,,
2010,Sep,"3,654.5",25.6,0.71,-3.6,-0.10,,,,,,,,,,,,,,,,,
2010,Oct,"3,664.3",35.3,0.97,9.8,0.27,,,,,,,,,,,,,,,,,
2010,Nov,"3,664.2",35.2,0.97,-0.1,0.00,,,,,,,,,,,,,,,,,
2010,Dec,"3,665.7",41.2,1.14,1.5,0.04,,,,,,,,,,,,,,,,,
2011,Jan,"3,677.4",59.8,1.65,11.7,0.32,,,,,,,,,,,,,,,,,
2011,Feb,"3,681.0",83.0,2.31,3.6,0.10,,,,,,,,,,,,,,,,,
2011,Mar,"3,685.5",67.8,1.87,4.5,0.12,,,,,,,,,,,,,,,,,
2011,Apr,"3,687.6",48.1,1.32,2.1,0.06,,,,,,,,,,,,,,,,,
2011,May,"3,683.6",23.7,0.65,-4.0,-0.11,,,,,,,,,,,,,,,,,
2011,Jun,"3,683.2",23.3,0.64,-0.4,-0.01,,,,,,,,,,,,,,,,,
2011,Jul,"3,691.5",28.7,0.78,8.3,0.23,,,,,,,,,,,,,,,,,
2011,Aug,"3,690.3",32.2,0.88,-1.2,-0.03,,,,,,,,,,,,,,,,,
2011,Sep,"3,714.1",59.6,1.63,23.8,0.64,,,,,,,,,,,,,,,,,
2011,Oct,"3,709.5",45.2,1.23,-4.6,-0.12,,,,,,,,,,,,,,,,,
2011,Nov,"3,713.4",49.2,1.34,3.9,0.11,,,,,,,,,,,,,,,,,
2011,Dec,"3,711.8",46.1,1.26,-1.6,-0.04,,,,,,,,,,,,,,,,,
