,Virgnia,,,,,,U.S.,,,,,,,
,Total GDP (millions $s),Annualized pct change,,Total GDP Chained Dollars,Q-toQ pct change,,Total GDP (billions $s) Annualized,Annualized pct change,,Total GDP Chained Dollars,Q-toQ pct change,,,
2009:Q1,"406,184",-1.9,,"423,534",-0.5,,"14,431",-4.6,,"15,188",-1.1,,,
2009:Q2,"409,357",3.2,,"426,435",0.7,,"14,381",-0.7,,"15,162",-0.2,,,
2009:Q3,"411,462",2.1,,"427,959",0.4,,"14,449",1.5,,"15,217",0.4,,,
2009:Q4,"416,867",5.4,,"432,669",1.1,,"14,651",4.3,,"15,379",1.1,,,
2010:Q1,"418,707",1.8,,"434,464",0.4,,"14,765",2.0,,"15,456",0.5,,,
2010:Q2,"426,463",7.6,,"440,950",1.5,,"14,980",3.9,,"15,606",1.0,,,
2010:Q3,"430,040",3.4,,"443,956",0.7,,"15,142",3.1,,"15,726",0.8,,,
2010:Q4,"432,761",2.6,,"445,600",0.4,,"15,310",2.1,,"15,808",0.5,,,
2011:Q1,"430,028",-2.5,,"441,903",-0.8,,"15,351",-1.0,,"15,770",-0.2,,,
2011:Q2,"433,571",3.3,,"443,714",0.4,,"15,558",2.7,,"15,877",0.7,,,
2011:Q3,"436,603",2.8,,"443,945",0.1,,"15,648",-0.2,,"15,871",0.0,,,
2011:Q4,"440,520",3.6,,"447,591",0.8,,"15,842",4.6,,"16,049",1.1,,,
2012:Q1,"441,572",1.0,,"445,804",-0.4,,"16,069",3.3,,"16,180",0.8,,,
2012:Q2,"444,777",2.9,,"445,903",0.0,,"16,207",1.8,,"16,254",0.5,,,
2012:Q3,"448,601",3.5,,"447,013",0.2,,"16,320",0.7,,"16,282",0.2,,,
2012:Q4,"448,945",0.3,,"445,175",-0.4,,"16,420",0.4,,"16,300",0.1,,,
2013:Q1,"456,522",6.9,,"450,786",1.3,,"16,629",3.5,,"16,442",0.9,,,
2013:Q2,"455,409",-1.0,,"448,344",-0.5,,"16,700",0.6,,"16,464",0.1,,,
2013:Q3,"457,623",2.0,,"448,799",0.1,,"16,911",3.2,,"16,595",0.8,,,
2013:Q4,"461,007",3.0,,"448,326",-0.1,,"17,133",2.9,,"16,713",0.7,,,
2014:Q1,"458,072",-2.5,,"444,798",-0.8,,"17,144",-1.4,,"16,654",-0.4,,,
2014:Q2,"463,364",4.7,,"447,586",0.6,,"17,463",5.2,,"16,868",1.3,,,
2014:Q3,"467,633",3.7,,"448,557",0.2,,"17,743",4.7,,"17,065",1.2,,,
2014:Q4,"471,658",3.5,,"449,771",0.3,,"17,853",1.8,,"17,141",0.4,,,
2015:Q1,"476,017",3.7,,"451,209",0.3,,"17,991",3.3,,"17,281",0.8,,,
2015:Q2,"483,114",6.1,,"455,536",1.0,,"18,194",2.3,,"17,381",0.6,,,
2015:Q3,"487,682",3.8,,"457,214",0.4,,"18,307",1.3,,"17,437",0.3,,,
2015:Q4,"488,333",0.5,,"456,691",-0.1,,"18,332",0.6,,"17,463",0.1,,,
2016:Q1,"488,468",0.1,,"455,843",-0.2,,"18,425",2.4,,"17,566",0.6,,,
2016:Q2,"494,172",4.8,,"458,596",0.6,,"18,612",1.2,,"17,619",0.3,,,
2016:Q3,"498,106",3.2,,"461,222",0.6,,"18,776",2.4,,"17,725",0.6,,,
2016:Q4,"503,339",4.3,,"464,202",0.6,,"18,968",2.0,,"17,813",0.5,,,
2017:Q1,"501,852",-1.2,,"461,539",-0.6,,"19,154",1.9,,"17,897",0.5,,,
2017:Q2,"505,836",3.2,,"464,359",0.6,,"19,323",2.3,,"17,997",0.6,,,
2017:Q3,"511,501",4.6,,"467,509",0.7,,"19,559",2.9,,"18,126",0.7,,,
2017:Q4,"520,383",7.1,,"473,492",1.3,,"19,883",3.8,,"18,297",0.9,,,
2018:Q1,"522,470",1.6,,"473,552",0.0,,"20,144",3.1,,"18,436",0.8,,,
2018:Q2,"531,295",6.9,,"477,975",0.9,,"20,493",3.4,,"18,590",0.8,,,
2018:Q3,"535,206",3.0,,"480,053",0.4,,"20,659",1.9,,"18,680",0.5,,,
2018:Q4,"538,057",2.1,,"479,699",-0.1,,"20,813",0.9,,"18,721",0.2,,,
2019:Q1,"546,052",6.1,,"483,714",0.8,,"21,002",2.4,,"18,833",0.6,,,
2019:Q2,"551,336",3.9,,"485,816",0.4,,"21,289",3.2,,"18,983",0.8,,,
2019:Q3,"557,589",4.6,,"488,911",0.6,,"21,505",2.8,,"19,113",0.7,,,
2019:Q4,"562,246",3.4,,"490,566",0.3,,"21,695",1.9,,"19,202",0.5,,,
2020:Q1,"565,893",-1.0,,"489,003",-0.3,,"21,538",-4.6,,"18,990",-1.1,,,
2020:Q2,"525,778",-25.5,,"453,483",-7.3,,"19,637",-29.9,,"17,379",-8.5,,,
2020:Q3,"562,665",31.2,,"482,662",6.4,,"21,362",35.3,,"18,744",7.9,,,
2020:Q4,"573,635",8.0,,"490,490",1.6,,"21,705",3.9,,"18,924",1.0,,,
2021:Q1,"585,372",8.4,,"496,830",1.3,,"22,600",5.2,,"20,991",10.9,,,
2021:Q2,"596,719",8.0,,"501,883",1.0,,"23,292",6.2,,"21,310",1.5,,,
2021: Q3,"609,013",8.5,,"506,619",0.9,,"23,829",3.3,,"21,483",0.8,,,
2021: Q4,"628,726",13.6,,"516,072",1.9,,"24,655",7.0,,"21,848",1.7,,,
2022: Q1,"644,917",4.3,,"570,756",10.6,,"25,216",-1.0,,"21,904",0.3,,,
2022: Q2,"658,015",8.4,,"573,025",0.4,,"25,806",0.3,,"21,919",0.1,,,
2022: Q3,"675,193",10.9,,"579,863",1.2,,"26,272",2.7,,"22,067",0.7,,,
2022: Q4,"688,603",8.2,,"584,213",0.8,,"26,734",3.4,,"22,250",0.8,,,
2023: Q1,"700,094",6.8,,"585,051",0.1,,"27,164",2.8,,"22,403",0.7,,,
2023: Q2,"714,581",8.5,,"587,013",0.3,,"27,454",2.4,,"22,539",0.6,,,
2023: Q3,"725,368",6.2,,"593,102",1.0,,"27,968",4.4,,"22,781",1.1,,,
2023: Q4,"739,546",8.1,,"598,043",0.8,,"28,297",3.2,,"22,961",0.8,,,
2024: Q1,"748,046",4.7,,"608,737",1.8,,"28,624",1.6,,"23,054",0.4,,,
2024: Q2,"759,236",6.1,,"613,508",0.8,,"29,017",3.0,,"23,224",0.7,,,
2024: Q3,"769,660",5.6,,"618,405",0.8,,"29,375",3.1,,"23,400",0.8,,,
2024: Q4,"780,958",3.4,,"623,581",0.8,,"29,724",2.4,,"23,542",0.6,,,
2025:Q1,n/a,n/a,,n/a,n/a,,"29,978",-0.3,,"23,526",-0.1,,,
