county_city,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
".Accomack County, Virginia","33,164","33,150","33,227","33,276","32,982","32,992","32,930","32,903","32,729","32,603","32,325","33,413","33,246"
".Albemarle County, Virginia","98,970","99,196","100,231","101,504","102,329","103,811","105,221","106,662","108,107","108,832","109,843","112,395","113,535"
".Alexandria City, Virginia","139,966","140,737","144,269","147,379","149,767","151,544","153,859","156,621","158,772","158,377","159,050","159,467","154,706"
".Alleghany County, Virginia","16,250","16,203","16,163","16,035","15,926","15,613","15,432","15,393","15,143","15,016","14,898","15,223","14,986"
".Amelia County, Virginia","12,690","12,741","12,747","12,741","12,655","12,713","12,784","12,805","12,974","12,997","13,058","13,265","13,268"
".Amherst County, Virginia","32,353","32,389","32,160","32,640","32,331","32,174","31,855","31,903","31,893","31,771","31,678","31,307","31,273"
".Appomattox County, Virginia","14,973","15,091","15,104","15,240","15,315","15,343","15,485","15,535","15,715","15,874","15,902","16,119","16,353"
".Arlington County, Virginia","207,627","209,319","216,078","221,614","225,120","226,274","228,887","231,805","235,193","236,662","238,392","238,643","232,965"
".Augusta County, Virginia","73,750","73,593","73,656","73,599","73,862","73,908","74,324","74,875","75,324","75,906","76,120","77,487","77,563"
".Bath County, Virginia","4,731","4,721","4,655","4,642","4,591","4,536","4,463","4,408","4,270","4,275","4,169","4,209","4,114"
".Bedford County, Virginia","68,676","75,032","75,555","75,755","76,189","77,054","77,653","78,024","78,445","79,115","79,431","79,462","80,131"
".Bland County, Virginia","6,824","6,801","6,776","6,693","6,674","6,586","6,536","6,483","6,361","6,295","6,292","6,270","6,173"
".Botetourt County, Virginia","33,148","33,195","33,001","33,121","32,995","33,086","33,391","33,298","33,355","33,412","33,500","33,596","33,866"
".Bristol City, Virginia","17,835","17,769","17,726","17,706","17,411","17,225","17,185","17,140","16,956","16,835","17,036","17,219","17,054"
".Brunswick County, Virginia","17,434","17,393","17,119","17,023","16,976","16,815","16,838","16,607","16,572","16,289","16,176","15,849","15,940"
".Buchanan County, Virginia","24,098","24,091","23,835","23,835","23,638","23,167","22,767","22,229","21,622","21,373","21,031","20,355","19,816"
".Buckingham County, Virginia","17,146","17,092","17,217","17,071","17,154","16,936","17,022","17,044","17,046","17,042","17,134","16,824","16,947"
".Buena Vista City, Virginia","6,650","6,613","6,715","6,751","6,661","6,561","6,541","6,488","6,504","6,508","6,481","6,641","6,601"
".Campbell County, Virginia","54,842","54,910","54,799","54,843","55,093","55,286","55,374","55,391","55,440","55,526","55,371","55,696","55,492"
".Caroline County, Virginia","28,545","28,631","28,672","28,950","29,253","29,747","29,907","30,091","30,441","30,766","30,745","30,887","31,332"
".Carroll County, Virginia","30,042","30,071","30,093","29,920","29,915","29,721","29,882","29,788","29,845","29,824","30,022","29,155","29,048"
".Charles City County, Virginia","7,256","7,255","7,200","7,123","7,068","6,975","7,043","7,026","7,024","6,983","6,969","6,773","6,594"
".Charlotte County, Virginia","12,586","12,568","12,497","12,400","12,281","12,177","12,182","12,113","12,078","11,906","11,849","11,529","11,448"
