year,month,"Jobs (000s, nonfarm, seasonally adjusted)",Chg from prior year,Pct. Chg from year,Change from prior month,Pct. Chg from month
2009,Jan,"3,704.60",0,0,0,0
2009,Feb,"3,690.00",0,0,-14.6,-0.39
2009,Mar,"3,672.00",0,0,-18,-0.49
2009,Apr,"3,653.00",0,0,-19,-0.52
2009,May,"3,656.20",0,0,3.2,0.09
2009,Jun,"3,651.40",0,0,-4.8,-0.13
2009,Jul,"3,639.90",0,0,-11.5,-0.31
2009,Aug,"3,639.10",0,0,-0.8,-0.02
2009,Sep,"3,628.90",0,0,-10.2,-0.28
2009,Oct,"3,629.00",0,0,0.1,0
2009,Nov,"3,629.00",0,0,0,0
2009,Dec,"3,624.50",0,0,-4.5,-0.12
2010,Jan,"3,617.60",-87,-2.35,-6.9,-0.19
2010,Feb,"3,598.00",-92,-2.49,-19.6,-0.54
2010,Mar,"3,617.70",-54.3,-1.48,19.7,0.55
2010,Apr,"3,639.50",-13.5,-0.37,21.8,0.6
2010,May,"3,659.90",3.7,0.1,20.4,0.56
2010,Jun,"3,659.90",8.5,0.23,0,0
2010,Jul,"3,662.80",22.9,0.63,2.9,0.08
2010,Aug,"3,658.10",19,0.52,-4.7,-0.13
2010,Sep,"3,654.50",25.6,0.71,-3.6,-0.1
2010,Oct,"3,664.30",35.3,0.97,9.8,0.27
2010,Nov,"3,664.20",35.2,0.97,-0.1,0
2010,Dec,"3,665.70",41.2,1.14,1.5,0.04
2011,Jan,"3,677.40",59.8,1.65,11.7,0.32
2011,Feb,"3,681.00",83,2.31,3.6,0.1
2011,Mar,"3,685.50",67.8,1.87,4.5,0.12
2011,Apr,"3,687.60",48.1,1.32,2.1,0.06
2011,May,"3,683.60",23.7,0.65,-4,-0.11
2011,Jun,"3,683.20",23.3,0.64,-0.4,-0.01
2011,Jul,"3,691.50",28.7,0.78,8.3,0.23
2011,Aug,"3,690.30",32.2,0.88,-1.2,-0.03
2011,Sep,"3,714.10",59.6,1.63,23.8,0.64
2011,Oct,"3,709.50",45.2,1.23,-4.6,-0.12
2011,Nov,"3,713.40",49.2,1.34,3.9,0.11
2011,Dec,"3,711.80",46.1,1.26,-1.6,-0.04
2012,Jan,"3,724.00",46.6,1.27,12.2,0.33
2012,Feb,"3,727.70",46.7,1.27,3.7,0.1
2012,Mar,"3,733.40",47.9,1.3,5.7,0.15
2012,Apr,"3,728.00",40.4,1.1,-5.4,-0.14
2012,May,"3,724.50",40.9,1.11,-3.5,-0.09
2012,Jun,"3,726.80",43.6,1.18,2.3,0.06
2012,Jul,"3,718.50",27,0.73,-8.3,-0.22
2012,Aug,"3,732.70",42.4,1.15,14.2,0.38
2012,Sep,"3,746.40",32.3,0.87,13.7,0.37
2012,Oct,"3,758.00",48.5,1.31,11.6,0.31
2012,Nov,"3,759.00",45.6,1.23,1,0.03
2012,Dec,"3,761.00",49.2,1.33,2,0.05
2013,Jan,"3,764.20",40.2,1.08,3.2,0.09
2013,Feb,"3,769.60",41.9,1.12,5.4,0.14
2013,Mar,"3,770.10",36.7,0.98,0.5,0.01
2013,Apr,"3,761.70",33.7,0.9,-8.4,-0.22
2013,May,"3,756.20",31.7,0.85,-5.5,-0.15
2013,Jun,"3,757.30",30.5,0.82,1.1,0.03
2013,Jul,"3,757.40",38.9,1.05,0.1,0
2013,Aug,"3,761.50",28.8,0.77,4.1,0.11
2013,Sep,"3,765.80",19.4,0.52,4.3,0.11
2013,Oct,"3,761.60",3.6,0.1,-4.2,-0.11
2013,Nov,"3,768.60",9.6,0.26,7,0.19
