id,county_city,year,month,permits,home_sales
0,Accomack County,2016,1,5,21
1,Accomack County,2016,2,5,15
2,Accomack County,2016,3,5,27
3,Accomack County,2016,4,5,42
4,Accomack County,2016,5,5,30
5,Accomack County,2016,6,5,45
6,Accomack County,2016,7,4,26
7,Accomack County,2016,8,4,37
8,Accomack County,2016,9,4,32
9,Accomack County,2016,10,4,38
10,Accomack County,2016,11,4,35
11,Accomack County,2016,12,4,31
12,Albemarle County,2016,1,72,30
13,Albemarle County,2016,2,72,33
14,Albemarle County,2016,3,72,32
15,Albemarle County,2016,4,72,44
16,Albemarle County,2016,5,71,42
17,Albemarle County,2016,6,71,49
18,Albemarle County,2016,7,71,57
19,Albemarle County,2016,8,71,61
20,Albemarle County,2016,9,71,53
21,Albemarle County,2016,10,71,47
22,Albemarle County,2016,11,71,37
23,Albemarle County,2016,12,71,53
24,Alexandria City,2016,1,52,26
25,Alexandria City,2016,2,52,37
26,Alexandria City,2016,3,52,44
27,Alexandria City,2016,4,52,31
28,Alexandria City,2016,5,52,45
29,Alexandria City,2016,6,52,45
30,Alexandria City,2016,7,52,53
31,Alexandria City,2016,8,52,46
32,Alexandria City,2016,9,52,41
33,Alexandria City,2016,10,51,54
34,Alexandria City,2016,11,51,41
35,Alexandria City,2016,12,51,43
36,Alleghany County,2016,1,1,24
37,Alleghany County,2016,2,1,25
38,Alleghany County,2016,3,1,27
39,Alleghany County,2016,4,1,41
40,Alleghany County,2016,5,1,51
41,Alleghany County,2016,6,1,54
42,Alleghany County,2016,7,1,58
43,Alleghany County,2016,8,1,51
44,Alleghany County,2016,9,1,42
45,Alleghany County,2016,10,1,65
46,Alleghany County,2016,11,1,33
47,Alleghany County,2016,12,0,43
48,Amelia County,2016,1,4,32
49,Amelia County,2016,2,4,33
50,Amelia County,2016,3,4,46
51,Amelia County,2016,4,4,33
52,Amelia County,2016,5,4,38
53,Amelia County,2016,6,4,57
54,Amelia County,2016,7,4,64
55,Amelia County,2016,8,4,77
56,Amelia County,2016,9,3,82
57,Amelia County,2016,10,3,87
58,Amelia County,2016,11,3,71
59,Amelia County,2016,12,3,64
60,Amherst County,2016,1,4,66
61,Amherst County,2016,2,4,41
62,Amherst County,2016,3,4,56
63,Amherst County,2016,4,4,61
64,Amherst County,2016,5,4,66
65,Amherst County,2016,6,4,66
66,Amherst County,2016,7,4,84
67,Amherst County,2016,8,4,55
68,Amherst County,2016,9,4,74
69,Amherst County,2016,10,4,65
70,Amherst County,2016,11,4,59
71,Amherst County,2016,12,3,55
72,Appomattox County,2016,1,7,64
73,Appomattox County,2016,2,7,88
74,Appomattox County,2016,3,6,131
75,Appomattox County,2016,4,6,135
76,Appomattox County,2016,5,6,196
77,Appomattox County,2016,6,6,251
78,Appomattox County,2016,7,6,179
79,Appomattox County,2016,8,6,161
80,Appomattox County,2016,9,6,134
81,Appomattox County,2016,10,6,132
82,Appomattox County,2016,11,6,117
83,Appomattox County,2016,12,6,137
84,Arlington County,2016,1,160,98
85,Arlington County,2016,2,160,71
86,Arlington County,2016,3,160,117
87,Arlington County,2016,4,160,145
88,Arlington County,2016,5,160,205
89,Arlington County,2016,6,160,259
90,Arlington County,2016,7,159,169
91,Arlington County,2016,8,159,202
92,Arlington County,2016,9,159,139
93,Arlington County,2016,10,159,153
94,Arlington County,2016,11,159,144
95,Arlington County,2016,12,159,132
96,Augusta County,2016,1,18,77
97,Augusta County,2016,2,18,106
98,Augusta County,2016,3,18,160
99,Augusta County,2016,4,18,182
100,Augusta County,2016,5,18,225
101,Augusta County,2016,6,17,241
102,Augusta County,2016,7,17,210
103,Augusta County,2016,8,17,201
104,Augusta County,2016,9,17,124
105,Augusta County,2016,10,17,124
106,Augusta County,2016,11,17,120
107,Augusta County,2016,12,17,134
108,Bath County,2016,1,1,91
109,Bath County,2016,2,1,84
110,Bath County,2016,3,1,135
111,Bath County,2016,4,1,166
112,Bath County,2016,5,1,226
113,Bath County,2016,6,1,261
114,Bath County,2016,7,1,253
115,Bath County,2016,8,1,168
116,Bath County,2016,9,1,145
117,Bath County,2016,10,1,153
118,Bath County,2016,11,0,117
119,Bath County,2016,12,0,170
120,Bedford County,2016,1,24,88
121,Bedford County,2016,2,24,92
122,Bedford County,2016,3,24,164
123,Bedford County,2016,4,24,136
124,Bedford County,2016,5,24,166
125,Bedford County,2016,6,24,203
126,Bedford County,2016,7,24,244
127,Bedford County,2016,8,24,166
128,Bedford County,2016,9,24,176
129,Bedford County,2016,10,24,180
130,Bedford County,2016,11,24,158
131,Bedford County,2016,12,24,171
132,Bland County,2016,1,2,131
133,Bland County,2016,2,2,107
134,Bland County,2016,3,2,183
135,Bland County,2016,4,2,196
136,Bland County,2016,5,2,205
137,Bland County,2016,6,2,278
138,Bland County,2016,7,2,232
139,Bland County,2016,8,2,217
140,Bland County,2016,9,2,150
141,Bland County,2016,10,2,179
142,Bland County,2016,11,1,137
143,Bland County,2016,12,1,189
144,Botetourt County,2016,1,6,101
145,Botetourt County,2016,2,6,122
146,Botetourt County,2016,3,6,212
147,Botetourt County,2016,4,6,232
148,Botetourt County,2016,5,6,290
149,Botetourt County,2016,6,6,284
150,Botetourt County,2016,7,6,261
151,Botetourt County,2016,8,6,218
152,Botetourt County,2016,9,6,201
153,Botetourt County,2016,10,5,162
154,Botetourt County,2016,11,5,198
155,Botetourt County,2016,12,5,217
156,Bristol City,2016,1,5,132
157,Bristol City,2016,2,5,147
158,Bristol City,2016,3,5,225
159,Bristol City,2016,4,4,252
160,Bristol City,2016,5,4,287
161,Bristol City,2016,6,4,323
162,Bristol City,2016,7,4,257
163,Bristol City,2016,8,4,240
164,Bristol City,2016,9,4,174
165,Bristol City,2016,10,4,219
166,Bristol City,2016,11,4,215
167,Bristol City,2016,12,4,184
168,Brunswick County,2016,1,2,145
169,Brunswick County,2016,2,2,170
170,Brunswick County,2016,3,2,258
171,Brunswick County,2016,4,2,237
172,Brunswick County,2016,5,2,294
173,Brunswick County,2016,6,2,311
174,Brunswick County,2016,7,2,286
175,Brunswick County,2016,8,2,234
176,Brunswick County,2016,9,2,199
177,Brunswick County,2016,10,2,229
178,Brunswick County,2016,11,2,220
179,Brunswick County,2016,12,1,254
180,Buchanan County,2016,1,1,156
181,Buchanan County,2016,2,1,180
182,Buchanan County,2016,3,1,204
183,Buchanan County,2016,4,1,254
184,Buchanan County,2016,5,1,288
185,Buchanan County,2016,6,1,254
186,Buchanan County,2016,7,1,239
187,Buchanan County,2016,8,1,210
188,Buchanan County,2016,9,1,183
