id,county_city,year,month,permits,home_sales,population,"Jobs (000s, nonfarm, seasonally adjusted)",Chg from prior year,Pct. Chg from year,Change from prior month,Pct. Chg from month,unemployment,Total GDP (millions $s),Annualized pct change,Total GDP Chained Dollars,Q-toQ pct change,30-Yr Fixed Mortgage Rate,15-Yr Fixed Mortgage Rate,5/1-Yr Adj Mortgage Rate,median_sales_price
0,Accomack County,2016,1,5,21,32930,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,145000.0
1,Accomack County,2016,2,5,15,32930,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,154000.0
2,Accomack County,2016,3,5,27,32930,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,135000.0
3,Accomack County,2016,4,5,42,32930,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,160000.0
4,Accomack County,2016,5,5,30,32930,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,160000.0
5,Accomack County,2016,6,5,45,32930,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,153300.0
6,Accomack County,2016,7,4,26,32930,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,149000.0
7,Accomack County,2016,8,4,37,32930,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,159950.0
8,Accomack County,2016,9,4,32,32930,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,145000.0
9,Accomack County,2016,10,4,38,32930,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,170900.0
10,Accomack County,2016,11,4,35,32930,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,168000.0
11,Accomack County,2016,12,4,31,32930,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,140100.0
12,Albemarle County,2016,1,72,64,105221,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,295985.0
13,Albemarle County,2016,2,72,88,105221,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,304000.0
14,Albemarle County,2016,3,72,131,105221,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,289000.0
15,Albemarle County,2016,4,72,135,105221,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,348000.0
16,Albemarle County,2016,5,71,196,105221,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,324000.0
17,Albemarle County,2016,6,71,251,105221,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,377000.0
18,Albemarle County,2016,7,71,179,105221,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,337000.0
19,Albemarle County,2016,8,71,161,105221,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,340000.0
20,Albemarle County,2016,9,71,134,105221,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,335450.0
21,Albemarle County,2016,10,71,132,105221,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,303437.5
22,Albemarle County,2016,11,71,117,105221,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,332000.0
23,Albemarle County,2016,12,71,137,105221,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,339061.0
24,Alexandria City,2016,1,52,101,153859,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,418000.0
25,Alexandria City,2016,2,52,122,153859,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,537000.0
26,Alexandria City,2016,3,52,212,153859,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,462500.0
27,Alexandria City,2016,4,52,232,153859,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,479950.0
28,Alexandria City,2016,5,52,290,153859,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,538500.0
29,Alexandria City,2016,6,52,284,153859,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,504150.0
30,Alexandria City,2016,7,52,261,153859,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,536000.0
31,Alexandria City,2016,8,52,218,153859,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,445000.0
32,Alexandria City,2016,9,52,201,153859,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,427500.0
33,Alexandria City,2016,10,51,162,153859,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,435500.0
34,Alexandria City,2016,11,51,198,153859,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,500500.0
35,Alexandria City,2016,12,51,217,153859,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,515000.0
36,Alleghany County,2016,1,1,2,15432,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,37750.0
37,Alleghany County,2016,2,1,3,15432,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,95000.0
38,Alleghany County,2016,3,1,8,15432,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,117750.0
39,Alleghany County,2016,4,1,9,15432,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,113000.0
40,Alleghany County,2016,5,1,8,15432,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,84000.0
41,Alleghany County,2016,6,1,5,15432,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,82000.0
42,Alleghany County,2016,7,1,7,15432,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,111500.0
43,Alleghany County,2016,8,1,10,15432,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,49000.0
44,Alleghany County,2016,9,1,8,15432,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,82250.0
45,Alleghany County,2016,10,1,7,15432,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,110000.0
46,Alleghany County,2016,11,1,6,15432,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,78500.0
47,Alleghany County,2016,12,0,6,15432,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,90000.0
48,Amelia County,2016,1,4,11,12784,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,150000.0
49,Amelia County,2016,2,4,11,12784,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,185000.0
50,Amelia County,2016,3,4,11,12784,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,159950.0
51,Amelia County,2016,4,4,14,12784,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,157450.0
52,Amelia County,2016,5,4,13,12784,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,225000.0
53,Amelia County,2016,6,4,11,12784,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,182000.0
54,Amelia County,2016,7,4,14,12784,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,163750.0
55,Amelia County,2016,8,4,7,12784,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,176000.0
56,Amelia County,2016,9,3,30,12784,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,216250.0
57,Amelia County,2016,10,3,13,12784,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,174950.0
58,Amelia County,2016,11,3,7,12784,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,153000.0
59,Amelia County,2016,12,3,5,12784,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,175000.0
60,Amherst County,2016,1,4,13,31855,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,146250.0
61,Amherst County,2016,2,4,14,31855,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,144900.0
62,Amherst County,2016,3,4,18,31855,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,101900.0
63,Amherst County,2016,4,4,19,31855,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,149900.0
64,Amherst County,2016,5,4,28,31855,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,139950.0
65,Amherst County,2016,6,4,28,31855,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,110250.0
66,Amherst County,2016,7,4,28,31855,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,162900.0
67,Amherst County,2016,8,4,42,31855,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,150000.0
68,Amherst County,2016,9,4,26,31855,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,170250.0
69,Amherst County,2016,10,4,32,31855,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,166000.0
70,Amherst County,2016,11,4,38,31855,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,136950.0
71,Amherst County,2016,12,3,30,31855,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,120000.0
72,Appomattox County,2016,1,7,8,15485,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,158500.0
73,Appomattox County,2016,2,7,12,15485,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,172450.0
74,Appomattox County,2016,3,6,14,15485,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,133000.0
75,Appomattox County,2016,4,6,17,15485,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,139900.0
76,Appomattox County,2016,5,6,13,15485,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,179500.0
77,Appomattox County,2016,6,6,15,15485,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,189900.0
78,Appomattox County,2016,7,6,13,15485,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,150950.0
79,Appomattox County,2016,8,6,21,15485,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,148950.0
80,Appomattox County,2016,9,6,9,15485,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,150000.0
81,Appomattox County,2016,10,6,12,15485,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,126500.0
82,Appomattox County,2016,11,6,20,15485,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,157750.0
83,Appomattox County,2016,12,6,4,15485,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,117500.0
84,Arlington County,2016,1,160,147,228887,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,595000.0
85,Arlington County,2016,2,160,141,228887,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,530000.0
86,Arlington County,2016,3,160,223,228887,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,525000.0
87,Arlington County,2016,4,160,272,228887,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,549900.0
88,Arlington County,2016,5,160,303,228887,3907.5,59.8,1.55,-3.8,-0.1,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,535000.0
89,Arlington County,2016,6,160,347,228887,3912.5,58.8,1.53,5.0,0.13,4.0,494172.0,4.8,458596.0,0.6,3.57,2.84,2.78,623500.0
90,Arlington County,2016,7,159,287,228887,3915.7,46.1,1.19,3.2,0.08,4.0,498106.0,3.2,461222.0,0.6,3.44,2.75,2.75,627000.0
91,Arlington County,2016,8,159,281,228887,3922.0,43.8,1.13,6.3,0.16,4.0,498106.0,3.2,461222.0,0.6,3.44,2.74,2.74,541500.0
92,Arlington County,2016,9,159,226,228887,3927.8,40.4,1.04,5.8,0.15,4.0,498106.0,3.2,461222.0,0.6,3.46,2.76,2.81,512000.0
93,Arlington County,2016,10,159,247,228887,3929.9,32.6,0.84,2.1,0.05,4.0,503339.0,4.3,464202.0,0.6,3.47,2.76,2.83,510000.0
94,Arlington County,2016,11,159,249,228887,3935.0,32.7,0.84,5.1,0.13,4.0,503339.0,4.3,464202.0,0.6,3.77,3.03,2.98,545000.0
95,Arlington County,2016,12,159,225,228887,3934.7,27.0,0.69,-0.3,-0.01,4.0,503339.0,4.3,464202.0,0.6,4.2,3.43,3.23,560000.0
96,Augusta County,2016,1,18,40,74324,3890.3,77.8,2.04,-17.4,-0.45,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,196500.0
97,Augusta County,2016,2,18,38,74324,3896.2,80.4,2.11,5.9,0.15,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,186250.0
98,Augusta County,2016,3,18,59,74324,3904.1,95.8,2.52,7.9,0.2,4.0,488468.0,0.1,455843.0,-0.2,3.6,2.84,2.81,177000.0
99,Augusta County,2016,4,18,79,74324,3911.3,78.8,2.06,7.2,0.18,4.0,494172.0,4.8,458596.0,0.6,3.6,2.84,2.81,205900.0
