county_city,2016 - Jan,2016 - Feb,2016 - Mar,2016 - Apr,2016 - May,2016 - Jun,2016 - Jul,2016 - Aug,2016 - Sep,2016 - Oct,2016 - Nov,2016 - Dec,2017 - Jan,2017 - Feb,2017 - Mar,2017 - Apr,2017 - May,2017 - Jun,2017 - Jul,2017 - Aug,2017 - Sep,2017 - Oct,2017 - Nov,2017 - Dec,2018 - Jan,2018 - Feb,2018 - Mar,2018 - Apr,2018 - May,2018 - Jun,2018 - Jul,2018 - Aug,2018 - Sep,2018 - Oct,2018 - Nov,2018 - Dec,2019 - Jan,2019 - Feb,2019 - Mar,2019 - Apr,2019 - May,2019 - Jun,2019 - Jul,2019 - Aug,2019 - Sep,2019 - Oct,2019 - Nov,2019 - Dec,2020 - Jan,2020 - Feb,2020 - Mar,2020 - Apr,2020 - May,2020 - Jun,2020 - Jul,2020 - Aug,2020 - Sep,2020 - Oct,2020 - Nov,2020 - Dec,2021 - Jan,2021-Feb,2021-Mar,2021 - Apr,2021 - May,2021 - Jun,2021 - Jul,2021 - Aug,2021 - Sep,2021 - Oct,2021 - Nov,2021 - Dec,2022 - Jan,2022 - Feb,2022 - Mar,2022 - Apr,2022 - May,2022- Jun,2022 - Jul,2022 - Aug,2022- Sep,2022- Oct,2022- Nov,2022- Dec,2023- Jan,2023- Feb,2023- Mar,2023- Apr,2023- May,2023- Jun,2023- Jul,2023- Aug,2023- Sep,2023- Oct,2023- Nov,2023- Dec,2024- Jan,2024- Feb,2024- Mar,2024- Apr,2024- May,2024- June,2024- July,2024- Aug,2024- Sep,2024- Oct,2024- Nov,2024- Dec,2025- Jan,2025- Feb,2025- Mar,2025- Apr,2025- May,2025- June
 Accomack County ,145000,154000,135000,160000,160000,153300,149000,159950,145000,170900,168000,140100,115000,150000,130000,164000,145000,170500,139900,170000,160000,157600,128500,145450,162500,153000,165000,112500,149200,157000,175450,185365,160000,154000,150000,149210,160000,165900,199000,138000,170000,137000,164700,180000,148950,165000,168000,161000,239500,149999,186950,174000,152500,150500,194500,205000,228000,199000,145000,219000,235000,220000,225500,230500,185950,218250,192500,235000,236000,250000,237500,266625,238500,200000,250000,275000,292450,253500,241000,227000,220000,225000,310000,208000,280000,294750,299999,298000,370000,289000,249000,295000,280000,290000,314050,330950,245000,247000,284500,296000,355000,266500,289750,265000,299000,344999.5,345000,295000,307500,269000,275000,289500,317500,319000
 Albemarle County ,295985,304000,289000,348000,324000,377000,337000,340000,335450,303437.5,332000,339061,375260,344439,368500,367000,355000,385849,402500,347844.5,350500,425000,361938.5,430956,355530,364950,389750,411500,345000,370000,360000,389900,402667.5,383816.5,375445.5,444672.5,313000,339000,349000,375750,385000,394000,391500,368934.5,385000,343000,360618.5,400934.5,410000,375000,387500,414500,397500,389247.5,384000,431840,425474,420000,442500,390000,435000,429900,417500,413750,452500,432750,418426,405000,436288,400000,424000,452500,463910,537441,465501,470000,475000,491063.5,488000,455870.5,447000,456172,463000,547459,450000,455649,465225,506389,535904,544750,495119,570000,516113,495000,536315,547536,514290,475000,555000,526928,543000,535412,532113,574515,557450,543078,552000,521000,567573,512500,539900,547800,595000,586500
 Alexandria City ,418000,537000,462500,479950,538500,504150,536000,445000,427500,435500,500500,515000,391750,466400,485000,510000,470000,565000,495000,523000,537500,440000,518200,545000,512000,559500,461000,539900,549500,545000,548000,474500,519000,535000,510000,535000,457500,503500,567000,563020,513500,521000,495000,522000,499000,599000,535950,559700,507000,477000,570000,610000,533500,614500,630000,625000,530000,644950,600000,610000,470000,540000,577000,645000,580000,670000,649500,590000,542800,615000,615000,512500,494950,553500,529000,609900,657950,605000,538350,542000,486500,699000,525000,560000,570000,557000,665000,615000,742400,702500,557500,622000,598900,700000,595000,655000,574500,718000,702450,725000,705000,750799,653500,670000,685000,620000,625000,579000,650000,700000,760000,794950,760500,681500
 Alleghany County ,37750,95000,117750,113000,84000,82000,111500,49000,82250,110000,78500,90000,63600,129500,90000,116000,50000,110000,94000,68500,35000,72500,69000,95000,44000.5,80000,89000,100000,103060.5,87450,75950,79900,109000,151000,55950,140750,83750,74500,115750,67500,157500,78900,87050,75000,149900,85000,59200,128000,59950,79800,113500,100000,104450,84900,96500,111000,139000,130250,100250,91000,179380,125000,105000,87000,97500,97500,84670,119900,119900,109950,154500,141900,129000,119725,78000,137100,139950,149900,137500,139900,92450,129500,144500,159500,110000,121500,83950,157000,75000,165000,159800,151200,81885,145000,172000,124500,121750,147000,162000,172000,135000,133900,152750,150000,146000,149000,106000,162450,65500,107000,204000,152500,105000,165000
 Amelia County ,150000,185000,159950,157450,225000,182000,163750,176000,216250,174950,153000,175000,175000,185000,185000,205500,178250,201000,234950,215000,215700,178975,92500,217000,275000,242750,180000,175000,219000,185450,249900,259950,218225,174950,228000,213125,239950,260000,150000,230000,246500,272500,243000,291250,264975,265000,210500,207475,338141,156200,212000,241000,241000,266100,245000,250000,285000,250000,257500,215000,250500,259950,252999,271250,239000,308475,315000,299000,315000,268500,320000,315000,285000,242500,267000,305500,319474.5,254500,229000,275000,400000,305000,282450,377500,275000,282000,292500,305000,295000,315000,322500,309950,330000,361000,230000,307475,311000,290000,270000,300000,333000,372450,364950,325000,340000,380000,410000,465000,339000,335000,360000,346000,359000,415000
 Amherst County ,146250,144900,101900,149900,139950,110250,162900,150000,170250,166000,136950,120000,113750,122500,150000,139250,144950,154375,164900,180000,152500,168950,137000,155575,133000,169250,157500,135500,162800,177414,180500,162500,141000,143000,155000,163000,169900,142000,185000,155000,172400,170700,176000,158950,142500,166000,164000,190950,156750,149900,165000,167500,167500,182000,184450,179900,185450,191450,173500,179900,206462.5,204400,169900,194950,205000,204950,209500,234000,233750,187900,189900,210500,187450,230000,215000,209950,237500,213450,246000,252000,206250,207400,220000,220000,254750,250000,276725,255000,222500,300000,222450,282450,247250,234950,221100,203000,199900,266450,225000,281900,311950,319900,282650,215000,242500,262500,326950,247500,270000,250000,267450,247450,255000,250000
 Appomattox County ,158500,172450,133000,139900,179500,189900,150950,148950,150000,126500,157750,117500,174750,140450,136575,189900,175000,169900,142750,151500,129450,156450,135000,178750,149000,143000,160900,162450,149950,187000,149900,149900,165500,184450,195500,185000,85000,148500,172250,173000,162500,179900,183775,194125,191500,244000,189950,158000,180000,171000,139500,174900,176200,125000,187250,179950,211000,197000,174900,180950,179900,195000,193200,175000,250000,220900,218825,246000,211200,185000,226950,214900,254900,194700,262450,250000,240000,290000,272500,225000,279950,249000,293500,264900,266000,293750,261900,230000,315000,280000,284900,334450,257000,255000,315000,230000,314900,322000,249000,224900,329000,275900,308900,257500,297500,289900,349900,297400,310000,362500,207000,283000,268000,302000
 Arlington County ,595000,530000,525000,549900,535000,623500,627000,541500,512000,510000,545000,560000,552450,525000,508500,615000,620000,627000,565000,545000,522500,600000,581000,568000,534000,536176.5,570000,560000,565000,532500,615000,564900,513750,555000,561000,547000,615000,565000,585000,643750,618500,565000,637500,620000,585000,585000,548750,635000,584500,637500,635000,680000,625000,674900,730000,715000,715025,675000,659500,625500,606250,600000,625125,650000,735000,730000,676250,638450,654500,688000,720000,685925,622500,655000,650000,645000,677400,675000,740000,650000,565000,650000,575000,529375,636500,624500,650000,680000,675000,650000,719250,687500,695000,730000,712500,760000,647500,653750,713000,775000,715000,807500,795000,682500,775000,657500,702325,840000,593250,755000,756500,832500,797000,750000
 Augusta County ,196500,186250,177000,205900,206500,211000,214250,194000,195000,210000,205000,199000,168750,189000,220000,199000,183252,233750,205000,212500,213000,210000,183000,210000,228000,199000,224900,220750,225500,225000,229450,214900,221000,198000,217000,229900,228500,205000,212500,226000,232700,235500,253500,216750,249950,245000,207450,231900,183625,235000,250999,239500,255000,239000,250000,249900,265000,285000,262500,280500,250000,250000,263750,287000,270500,300000,285600,282000,281250,280000,280000,270000,283500,289700,320450,311000,324550,332000,345000,322500,310000,345000,325000,328000,329450,295000,330000,337751,321100,365000,340000,365000,383058,327500,318950,299900,338000,336500,299950,301000,337500,360000,365200,345000,333750,414000,370000,359900,357210,354350,378990,349500,357500,340700
 Bath County ,35000,80000, N/A ,137000,89900,303500,280000,1009500, N/A ,112500,395000, N/A ,24000, N/A ,100500,345000,61500,95000,157000,264500,56250,1955000,97500,307000,730000,90000,311750,167500,137979.5,160000,300000,175000,305000,147500,242900,79500, N/A ,154000,79000,82500,134950,257250,100600,381380,92000,77500,150000,608750,158900,178500,120000,335000,235000,225000,128750,140000,244500,198500,260000,689900,280000,453375,577000,248450,329900,179900,325000,184875,240000,139925,897500,3000000, N/A ,125700,170000,515000,200000,275000,530973,142500,254275,230000,116000,380000,223750,215000,431500,230000,250000,373500,168000,399300,199000,181050, N/A ,210000,90000,106500,140000,240000,435000,237000,959000,202000,500000,249500,945000,550000,263000,375000,262000,349000,364750,410000
