Week of,30-Yr Fixed Mortgage Rate,15-Yr Fixed Mortgage Rate,5/1-Yr Adj Mortgage Rate
5/5/2016,3.61,2.86,2.8
5/12/2016,3.57,2.81,2.78
5/19/2016,3.58,2.81,2.8
5/26/2016,3.64,2.89,2.87
6/2/2016,3.66,2.92,2.88
6/9/2016,3.6,2.87,2.82
6/16/2016,3.54,2.81,2.74
6/23/2016,3.56,2.83,2.74
6/30/2016,3.48,2.78,2.7
7/7/2016,3.41,2.74,2.68
7/14/2016,3.42,2.72,2.76
7/21/2016,3.45,2.75,2.78
7/28/2016,3.48,2.78,2.78
8/4/2016,3.43,2.74,2.73
8/11/2016,3.45,2.76,2.74
8/18/2016,3.43,2.74,2.76
8/25/2016,3.43,2.74,2.75
9/1/2016,3.46,2.77,2.83
9/8/2016,3.44,2.76,2.81
9/15/2016,3.5,2.77,2.82
9/22/2016,3.48,2.76,2.8
9/29/2016,3.42,2.72,2.81
10/6/2016,3.42,2.72,2.8
10/13/2016,3.47,2.76,2.82
10/20/2016,3.52,2.79,2.85
10/27/2016,3.47,2.78,2.84
11/3/2016,3.54,2.84,2.87
11/10/2016,3.57,2.88,2.88
11/17/2016,3.94,3.14,3.07
11/23/2016,4.03,3.25,3.12
12/1/2016,4.08,3.34,3.15
12/8/2016,4.13,3.36,3.17
12/15/2016,4.16,3.37,3.19
12/22/2016,4.3,3.52,3.32
12/29/2016,4.32,3.55,3.3
1/5/2017,4.2,3.44,3.33
1/12/2017,4.12,3.37,3.23
1/19/2017,4.09,3.34,3.21
1/26/2017,4.19,3.4,3.2
2/2/2017,4.19,3.41,3.23
2/9/2017,4.17,3.39,3.21
2/16/2017,4.15,3.35,3.18
2/23/2017,4.16,3.37,3.16
3/2/2017,4.1,3.32,3.14
3/9/2017,4.21,3.42,3.23
3/16/2017,4.3,3.5,3.28
3/23/2017,4.23,3.44,3.24
3/30/2017,4.14,3.39,3.18
4/6/2017,4.1,3.36,3.19
4/13/2017,4.08,3.34,3.18
4/20/2017,3.97,3.23,3.1
4/27/2017,4.03,3.27,3.12
5/4/2017,4.02,3.27,3.13
5/11/2017,4.05,3.29,3.14
5/18/2017,4.02,3.27,3.13
5/25/2017,3.95,3.19,3.07
6/1/2017,3.94,3.19,3.11
6/8/2017,3.89,3.16,3.11
6/15/2017,3.91,3.18,3.15
6/22/2017,3.9,3.17,3.14
6/29/2017,3.88,3.17,3.17
7/6/2017,3.96,3.22,3.21
7/13/2017,4.03,3.29,3.28
7/20/2017,3.96,3.23,3.21
7/27/2017,3.92,3.2,3.18
8/3/2017,3.93,3.18,3.15
8/10/2017,3.9,3.18,3.14
8/17/2017,3.89,3.16,3.16
8/24/2017,3.86,3.16,3.17
8/31/2017,3.82,3.12,3.14
9/7/2017,3.78,3.08,3.15
9/14/2017,3.78,3.08,3.13
9/21/2017,3.83,3.13,3.17
9/28/2017,3.83,3.13,3.2
10/5/2017,3.85,3.15,3.18
10/12/2017,3.91,3.21,3.16
10/19/2017,3.88,3.19,3.17
10/26/2017,3.94,3.25,3.21
11/2/2017,3.94,3.27,3.23
11/9/2017,3.9,3.24,3.22
11/16/2017,3.95,3.31,3.21
11/22/2017,3.92,3.32,3.22
11/30/2017,3.9,3.3,3.32
12/7/2017,3.94,3.36,3.35
12/14/2017,3.93,3.36,3.36
12/21/2017,3.94,3.38,3.39
12/28/2017,3.99,3.44,3.47
1/4/2018,3.95,3.38,3.45
1/11/2018,3.99,3.44,3.46
1/18/2018,4.04,3.49,3.46
1/25/2018,4.15,3.62,3.52
2/1/2018,4.22,3.68,3.53
2/8/2018,4.32,3.77,3.57
2/15/2018,4.38,3.84,3.63
2/22/2018,4.4,3.85,3.65
3/1/2018,4.43,3.9,3.62
3/8/2018,4.46,3.94,3.63
3/15/2018,4.44,3.9,3.67
3/22/2018,4.45,3.91,3.68
3/29/2018,4.44,3.9,3.66
4/5/2018,4.4,3.87,3.62
4/12/2018,4.42,3.87,3.61
4/19/2018,4.47,3.94,3.67
4/26/2018,4.58,4.02,3.74
5/3/2018,4.55,4.03,3.69
5/10/2018,4.55,4.01,3.77
5/17/2018,4.61,4.08,3.82
5/24/2018,4.66,4.15,3.87
5/31/2018,4.56,4.06,3.8
6/7/2018,4.54,4.01,3.74
6/14/2018,4.62,4.07,3.83
6/21/2018,4.57,4.04,3.83
6/28/2018,4.55,4.04,3.87
7/5/2018,4.52,3.99,3.74
7/12/2018,4.53,4.02,3.86
7/19/2018,4.52,4,3.87
7/26/2018,4.54,4.02,3.87
8/2/2018,4.6,4.08,3.93
8/9/2018,4.59,4.05,3.9
8/16/2018,4.53,4.01,3.87
8/23/2018,4.51,3.98,3.82
8/30/2018,4.52,3.97,3.85
9/6/2018,4.54,3.99,3.93
9/13/2018,4.6,4.06,3.93
9/20/2018,4.65,4.11,3.92
9/27/2018,4.72,4.16,3.97
10/4/2018,4.71,4.15,4.01
10/11/2018,4.9,4.29,4.07
10/18/2018,4.85,4.26,4.1
10/25/2018,4.86,4.29,4.14
11/1/2018,4.83,4.23,4.04
11/8/2018,4.94,4.33,4.14
11/15/2018,4.94,4.36,4.14
11/21/2018,4.81,4.24,4.09
11/29/2018,4.81,4.25,4.12
12/6/2018,4.75,4.21,4.07
12/13/2018,4.63,4.07,4.04
12/20/2018,4.62,4.07,3.98
12/27/2018,4.55,4.01,4
1/3/2019,4.51,3.99,3.98
1/10/2019,4.45,3.89,3.83
1/17/2019,4.45,3.88,3.87
1/24/2019,4.45,3.88,3.9
1/31/2019,4.46,3.89,3.96
2/7/2019,4.41,3.84,3.91
2/14/2019,4.37,3.81,3.88
2/21/2019,4.35,3.78,3.84
2/28/2019,4.35,3.77,3.84
3/7/2019,4.41,3.83,3.87
3/14/2019,4.31,3.76,3.84
3/21/2019,4.28,3.71,3.84
3/28/2019,4.06,3.57,3.75
4/4/2019,4.08,3.56,3.66
4/11/2019,4.12,3.6,3.8
4/18/2019,4.17,3.62,3.78
4/25/2019,4.2,3.64,3.77
5/2/2019,4.14,3.6,3.68
5/9/2019,4.1,3.57,3.63
5/16/2019,4.07,3.53,3.66
5/23/2019,4.06,3.51,3.68
5/30/2019,3.99,3.46,3.6
6/6/2019,3.82,3.28,3.52
6/13/2019,3.82,3.26,3.51
6/20/2019,3.84,3.25,3.48
6/27/2019,3.73,3.16,3.39
7/3/2019,3.75,3.18,3.45
7/11/2019,3.75,3.22,3.46
7/18/2019,3.81,3.23,3.48
7/25/2019,3.75,3.18,3.47
8/1/2019,3.75,3.2,3.46
8/8/2019,3.6,3.05,3.36
8/15/2019,3.6,3.07,3.35
8/22/2019,3.55,3.03,3.32
8/29/2019,3.58,3.06,3.31
9/5/2019,3.49,3,3.3
9/12/2019,3.56,3.09,3.36
9/19/2019,3.73,3.21,3.49
9/26/2019,3.64,3.16,3.38
10/3/2019,3.65,3.14,3.38
10/10/2019,3.57,3.05,3.35
10/17/2019,3.69,3.15,3.35
10/24/2019,3.75,3.18,3.4
10/31/2019,3.78,3.19,3.43
11/7/2019,3.69,3.13,3.39
11/14/2019,3.75,3.2,3.44
11/21/2019,3.66,3.15,3.39
11/27/2019,3.68,3.15,3.43
12/5/2019,3.68,3.14,3.39
12/12/2019,3.73,3.19,3.36
12/19/2019,3.73,3.19,3.37
12/26/2019,3.74,3.19,3.45
1/2/2020,3.72,3.16,3.46
1/9/2020,3.64,3.07,3.3
1/16/2020,3.65,3.09,3.39
1/23/2020,3.6,3.04,3.28
1/30/2020,3.51,3,3.24
2/6/2020,3.45,2.97,3.32
2/13/2020,3.47,2.97,3.28
2/20/2020,3.49,2.99,3.25
